"object","distance","detected"
1,415.39985335711,1
2,392.207445484189,1
3,48.8295316208877,1
4,26.1321158169134,1
5,365.676850809585,1
6,399.369363834011,1
7,48.851858336177,1
8,1060.66017177982,1
9,995.723782503344,1
10,2163.93705293913,1
11,172.845459604149,1
12,61.8033988749895,1
13,224.763956049547,1
14,142.35782507653,1
15,121.989793722652,1
16,821.0180625,1
17,447.158485235443,1
18,346.126215077411,1
19,727.74222096303,1
20,481.195971203736,1
21,331.667580850892,1
22,59.8104191212019,1
23,62.6278954320294,1
24,325.38931446064,1
25,295.832783218490,1
26,383.022221559489,1
27,479.181306028376,1
28,147.395323808152,1
29,347.693945462545,1
30,388.118290510399,1
31,984.807753012208,1
32,295.442325903662,1
33,385.6324372,1
34,297.763845492397,1
35,296.306502178541,1
36,225.458235531498,1
37,209.539684627979,1
38,76.2105571204383,1
39,242.404810123169,1
40,326.783421009016,1
41,139.247636460983,1
42,220.544036391779,1
43,320.2488791,1
44,88.2438030161684,1
45,465.760724443521,1
46,327.520857439994,1
47,349.946693304737,1
48,398.194663059168,1
49,25.8591054750694,1
50,313.495617278656,1
51,465.663607786998,1
52,0,1
53,7.49213186831824,1
54,138.925032358076,1
55,738.9162562,1
56,16.2241464353126,1
57,146.3994876,1
58,46.65484744,1
59,39.3626844939147,1
60,92.1471059433487,1
61,327.901284480727,1
62,47.0770290792005,1
63,380.435328487649,1
64,84.9968919331033,1
65,122.916188090500,1
66,93.15983056294,1
67,303.345845556240,1
68,132.078129016081,1
69,290.613279336815,1
70,241.882710304105,1
71,124.436804204829,1
72,29.2061040356905,1
73,34.568118264986,1
74,790.072806644955,1
75,608.361802111785,1
76,2118.73562724594,1
77,25.8098952853262,1
78,0,1
79,5.97174257268434,1
80,211.318682462376,1
81,140.692880310019,1
82,23.7172010730026,1
83,319.468589091235,1
84,0,1
85,35.1159671435133,1
86,112.459398818691,1
87,19.8927131204255,1
88,634.624853252978,1
89,271.756989877452,1
90,59.2930026825065,1
91,41.074556010493,1
92,24.3107448733702,1
93,454.801637098049,1
94,216.315991462223,1
95,170.628078870384,1
96,78.8659589881775,1
97,83.3265171843177,1
98,261.064100043024,1
99,223.302004356161,1
100,528.708946637707,1
101,178.886895363442,1
102,613.854128010456,1
103,597.284439631726,1
104,6.71917647835451,1
105,602.114148271062,1
106,178.941729110639,1
107,183.843672389157,1
108,696.165326757791,1
109,28.1634324171312,1
110,723.157911935406,1
111,409.235427209799,1
112,48.3811543694019,1
