"","","","","","","","1","","",""
"1","mmds-MS","1","30","1","0.945100593508998","0.109798812982004","0.766239362819904","39.152256404049","59.4346982654428","1"
"2","cds-hnc","1","30","1","ll","0.109798812982024","0.766239362496364","39.1522564205808","59.4346982654428","mt"
"3","cds-hnc","1","30","1","ll","1.32142724701121","0.882669396275009","33.9878103020273","59.4346982654428","mt"
"4","cds-hnc-w","1","30","1","ll","0.109798812982024","0.766239362496364","39.1522564205808","59.4346982654428","mt"
"5","cds-hnc-w","1","30","1","ll","1.32142724701121","0.882669396275009","33.9878103020273","59.4346982654428","mt"
"6","mmds-MS","1","30","2","5.05550979790029","-8.11101959580059","0.556217140842253","53.9357703981801","59.4346982654428","1"
"7","cds-hnc","1","30","2","ll","-8.11101959579945","0.556217226022064","53.9357621383879","59.4346982654428","mt"
"8","cds-hnc","1","30","2","ll","-7.05654035046248","0.665130567930064","45.1039261259067","59.4346982654428","mt"
"9","cds-hnc-w","1","30","2","ll","-8.11101959579945","0.556217226022064","53.9357621383879","59.4346982654428","mt"
"10","cds-hnc-w","1","30","2","ll","-7.05654035046248","0.665130567930064","45.1039261259067","59.4346982654428","mt"
"11","mmds-MS","1","30","3","1.47654080130326","-0.953081602606521","0.719560814248949","41.6920980213644","59.4346982654428","1"
"12","cds-hnc","1","30","3","ll","-0.953081602606161","0.719560749363145","41.6921017809154","59.4346982654428","mt"
"13","cds-hnc","1","30","3","ll","-1.53018687039751","0.466238812415183","64.3447074785469","59.4346982654428","mt"
"14","cds-hnc-w","1","30","3","ll","-0.953081602606161","0.719560749363145","41.6921017809154","59.4346982654428","mt"
"15","cds-hnc-w","1","30","3","ll","-1.53018687039751","0.466238812415183","64.3447074785469","59.4346982654428","mt"
"16","mmds-MS","1","30","4","1.46739744957658","-0.934794899153168","0.72025618917747","41.6518461774829","59.4346982654428","1"
"17","cds-hnc","1","30","4","ll","-0.934794899153148","0.720256191412576","41.6518460482285","59.4346982654428","mt"
"18","cds-hnc","1","30","4","ll","-0.467595362553885","0.869224508663099","34.5135229172739","59.4346982654428","mt"
"19","cds-hnc-w","1","30","4","ll","-0.934794899153148","0.720256191412576","41.6518460482285","59.4346982654428","mt"
"20","cds-hnc-w","1","30","4","ll","-0.467595362553885","0.869224508663099","34.5135229172739","59.4346982654428","mt"
"21","mmds-MS","1","30","5","8.10883536550701","-10.217670731014","0.283735230747327","105.732375641133","59.4346982654428","2"
"22","cds-hnc","1","30","5","ll","-3.61488136342227","0.598094213635691","50.1593215852001","59.4346982654428","mt"
"23","cds-hnc","1","30","5","ll","-9.13576836638608","0.317167893811533","94.587127465766","59.4346982654428","mt"
"24","cds-hnc-w","1","30","5","ll","-3.62098474548658","0.598051161321094","50.1629324383052","59.4346982654428","mt"
"25","cds-hnc-w","1","30","5","ll","-9.13578135019593","0.317167646357483","94.5872012625988","59.4346982654428","mt"
"26","mmds-MS","1","30","6","1.32664440882715","-0.653288817654301","0.731363338063367","41.0192833557111","59.4346982654428","1"
"27","cds-hnc","1","30","6","ll","-0.653288817654274","0.731363336094679","41.0192834661271","59.4346982654428","mt"
"28","cds-hrp","1","30","6",NA,NA,NA,NA,NA,NA
"29","cds-hnc-w","1","30","6","ll","-0.653288817654274","0.731363336094679","41.0192834661271","59.4346982654428","mt"
"30","cds-hrp-w","1","30","6",NA,NA,NA,NA,NA,NA
"31","mmds-MS","1","30","7","0.000227992964349814","1.9995440140713","0.995654607580336","30.1309307179392","59.4346982654428","1"
"32","cds-hnc","1","30","7",NA,NA,NA,NA,NA,NA
"33","cds-hnc","1","30","7","ll","5.999548135218","0.995701149308446","30.1295223178523","59.4346982654428","mt"
"34","cds-hnc-w","1","30","7",NA,NA,NA,NA,NA,NA
"35","cds-hrp-w","1","30","7",NA,NA,NA,NA,NA,NA
"36","mmds-MS","1","30","8","1.85783522214528","-1.71567044429057","0.692931812425449","43.2943032229851","59.4346982654428","1"
"37","cds-hnc","1","30","8","ll","-1.71567044429055","0.692931809906468","43.2943033803707","59.4346982654428","mt"
"38","cds-hnc","1","30","8","ll","-0.877872968038287","0.574406610435393","52.2278111967765","59.4346982654428","mt"
"39","cds-hnc-w","1","30","8","ll","-1.71567044429055","0.692931809906468","43.2943033803707","59.4346982654428","mt"
"40","cds-hnc-w","1","30","8","ll","-0.877872968038287","0.574406610435393","52.2278111967765","59.4346982654428","mt"
"41","mmds-MS","1","30","9","9.9781119296269","-17.9562238592538","0.444596453271858","67.4769215526239","59.4346982654428","1"
"42","cds-hnc","1","30","9","ll","-17.9562238592538","0.444596455088745","67.476921276873","59.4346982654428","mt"
"43","cds-hnc","1","30","9","ll","-16.4702002211229","0.518044375036484","57.9100969832694","59.4346982654428","mt"
"44","cds-hnc-w","1","30","9","ll","-17.9562238592538","0.444596455088745","67.476921276873","59.4346982654428","mt"
"45","cds-hnc-w","1","30","9","ll","-16.4702002211229","0.518044375036484","57.9100969832694","59.4346982654428","mt"
"46","mmds-MS","1","30","10","1.49585448550307","-0.991708971006131","0.7181018319401","41.776804717165","59.4346982654428","1"
"47","cds-hnc","1","30","10",NA,NA,NA,NA,NA,NA
"48","cds-hrp","1","30","10",NA,NA,NA,NA,NA,NA
"49","cds-hnc-w","1","30","10","ll","1.0049334421357","0.708067499218311","42.3688420004015","59.4346982654428","mt"
"50","cds-hrp-w","1","30","10",NA,NA,NA,NA,NA,NA
"51","mmds-MS","1","30","11","7.17344581157897","-12.3468916231579","0.500696315967423","59.9165582875027","59.4346982654428","1"
"52","cds-hnc","1","30","11","ll","-12.3468916231579","0.500696315394684","59.9165583560405","59.4346982654428","mt"
"53","cds-hnc","1","30","11","ll","-11.5353338063104","0.274990498871666","109.094678263777","59.4346982654428","mt"
"54","cds-hnc-w","1","30","11","ll","-12.3468916231579","0.500696315394684","59.9165583560405","59.4346982654428","mt"
"55","cds-hnc-w","1","30","11","ll","-11.534202932266","0.281543040507573","106.55564401775","59.4346982654428","mt"
"56","mmds-MS","1","30","12","2.17014448153612","-2.34028896307223","0.673907466327684","44.5164974406333","59.4346982654428","1"
"57","cds-hnc","1","30","12","ll","-2.34028896307223","0.673907458721372","44.5164979430856","59.4346982654428","mt"
"58","cds-hrp","1","30","12",NA,NA,NA,NA,NA,NA
"59","cds-hnc-w","1","30","12","ll","-2.34028896307223","0.673907458721372","44.5164979430856","59.4346982654428","mt"
"60","cds-hnc-w","1","30","12","ll","-2.42208217252104","0.44929121488022","66.771837521902","59.4346982654428","mt"
