"","","","","beta_1","beta_2","alpha_1","",""
"1",2,30,1,3.22500615816598,-1.62246930028536,-0.498122344598505,88.0805859994578,116.921547487670
"2",2,30,2,3.57131505076518,-1.29699073264498,-0.287017727857384,64.0572681291451,116.921547487670
"3",2,30,3,0.90680632975106,-3.10036012983308,-0.38679633600274,149.994923233154,116.921547487670
"4",2,30,4,-0.0514308923364929,-4.37324882312637,-0.572196015974878,291.477212582607,116.921547487670
"5",2,30,5,2.84417403514908,-1.44365149322188,-0.744326562447869,86.6898576527845,116.921547487670
"6",2,30,6,-0.30238112088358,-2.99923975953089,-0.613061930335528,230.943061376836,116.921547487670
"7",2,30,7,-0.402613693353484,-3.30473085952076,-0.198605476411448,149.908206458989,116.921547487670
"8",2,30,8,-0.799403836106334,-3.28917230480522,0.0189276094052271,140.029820214759,116.921547487670
"9",2,30,9,3.27444978777933,-1.37913606849417,0.0561376419227697,53.7498861944585,116.921547487670
"10",2,30,10,-0.588147927173624,-3.71299934295199,-0.48647362766241,275.864900981139,116.921547487670
"11",2,30,11,0.227096687799136,-1.81047560518923,-0.496663295317035,102.809815617424,116.921547487670
"12",2,30,12,-0.314190057924190,-3.17598707349452,-0.295005678991103,161.763269201997,116.921547487670
"13",2,30,13,4.21947676896689,-2.01248269755805,-0.214266495157251,85.4868052650484,116.921547487670
"14",2,30,14,4.90247451526041,-2.1525324477442,-0.600092522834160,130.277746620367,116.921547487670
"15",2,30,15,-0.0264047601148725,-2.16288783374291,-0.0969080004188261,89.0561537617498,116.921547487670
"16",2,30,16,-0.475132388789974,-3.37396122535442,-0.164030192266488,149.348465449259,116.921547487670
"17",2,30,17,-0.766937754013277,-3.81012395442304,0.155993453220202,120.164839707803,116.921547487670
"18",2,30,18,-0.723586433551236,-3.44133210239359,-0.280365565010184,206.034201098963,116.921547487670
"19",2,30,19,-0.886113491072426,-3.333557766661,0.0979335974016196,136.045641231315,116.921547487670
"20",2,30,20,0.114575764848134,-2.91337909142816,-0.227760754385007,123.554423148342,116.921547487670
"21",2,30,21,3.9001400484703,-1.54192221705888,-0.24786111036066,71.5392349331725,116.921547487670
"22",2,30,22,-0.518370531981884,-2.21871700300951,-0.258402307857032,122.091801765394,116.921547487670
"23",2,30,23,-0.964786446280696,-3.98872163501609,-0.388231859983989,320.878220794587,116.921547487670
"24",2,30,24,5.50127845148462,-1.45749466615610,-0.102914459494404,62.0601044651768,116.921547487670
"25",2,30,25,-0.528655674486234,-2.80189473031946,-0.615903236339942,225.381148521864,116.921547487670
"26",2,30,26,-0.0621284595446643,-1.64891550046065,-0.434009856291928,92.0527618245885,116.921547487670
"27",2,30,27,-0.00926532343766965,-1.58802647135038,-0.316011913589245,82.4151095595079,116.921547487670
"28",2,30,28,2.72692391278611,-1.63618960420199,-0.430751229816484,85.2350948715235,116.921547487670
"29",2,30,29,-0.650718234990603,-2.90408006291823,-0.136336803979046,143.864881331045,116.921547487670
