"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","2","30","1","9.66199543539885","-13.3239908707977","0.340601346362197","88.0795109015743","116.92154748767","2"
"2","cds-hnc","2","30","1",NA,NA,NA,"0.505210031200321","-11.9572110092061"
"3","cds-hrp","2","30","1",NA,NA,NA,"0.319341480444043","-14.3492461794356"
"4","2","30","2","4.09297941043257","-6.18595882086514","0.587814936655011","51.0364710545064","116.92154748767","1"
"5","cds-hnc","2","30","2",NA,NA,NA,"0.587814929718318","-6.18595882086512"
"6","cds-hrp","2","30","2",NA,NA,NA,"0.51007338180507","-6.24701090450782"
"7","2","30","3","5.89456371430101","-5.78912742860202","0.200007242511714","149.99456831291","116.92154748767","2"
"8","cds-hnc","2","30","3",NA,NA,NA,NA,NA
"9","cds-hrp","2","30","3",NA,NA,NA,"0.444226330145546","-1.6176069434155"
"10","2","30","4","13.34572477726","-24.69144955452","0.391762371710434","76.5770328299271","116.92154748767","1"
"11","cds-hnc","2","30","4",NA,NA,NA,"0.391762371619769","-24.69144955452"
"12","cds-hrp","2","30","4",NA,NA,NA,"0.265482101728431","-22.3511153725385"
"13","2","30","5","16.1043511197183","-26.2087022394366","0.15582135150329","192.528172234256","116.92154748767","2"
"14","cds-hnc","2","30","5",NA,NA,NA,"0.442508389407823","-16.1539667158597"
"15","cds-hrp","2","30","5",NA,NA,NA,"0.124405949836092","-26.1848239913609"
"16","2","30","6","15.3980183951348","-24.7960367902697","0.113483005477233","264.356763145637","116.92154748767","2"
"17","cds-hnc","2","30","6",NA,NA,NA,"0.622054135537894","-2.42765748549259"
"18","cds-hrp","2","30","6",NA,NA,NA,"0.31875782196264","-13.7579559792616"
"19","2","30","7","9.90202913704099","-17.804058274082","0.445941456114849","67.2734045885021","116.92154748767","1"
"20","cds-hnc","2","30","7",NA,NA,NA,"0.445941459262084","-17.804058274082"
"21","cds-hrp","2","30","7",NA,NA,NA,"0.403821301248894","-16.3072351136295"
"22","2","30","8","13.7726474728559","-21.5452949457118","0.157787030078352","190.129695609981","116.92154748767","2"
"23","cds-hnc","2","30","8",NA,NA,NA,"0.460048721102681","-14.221477867299"
"24","cds-hrp","2","30","8",NA,NA,NA,"0.258005780624625","-20.8296485598404"
"25","2","30","9","16.3513722558284","-26.7027445116568","0.159044887706799","188.625993784253","116.92154748767","2"
"26","cds-hnc","2","30","9",NA,NA,NA,"0.398834809526675","-23.7011681774424"
"27","cds-hrp","2","30","9",NA,NA,NA,"0.183010168465813","-23.6802810862035"
"28","2","30","10","13.9909255601663","-21.9818511203327","0.308848094399311","97.135130648444","116.92154748767","2"
"29","cds-hnc","2","30","10",NA,NA,NA,"0.428023714779888","-19.9075723707098"
"30","cds-hrp","2","30","10",NA,NA,NA,"0.332791677337496","-23.0688739363404"
"31","2","30","11","5.91276234930306","-5.82552469860611","0.37001472693784","81.0778539769846","116.92154748767","2"
"32","cds-hnc","2","30","11",NA,NA,NA,NA,NA
"33","cds-hrp","2","30","11",NA,NA,NA,"0.368416177491201","-6.33834185220125"
