"","","","","","beta_1","beta_2","alpha_1","","","",""
"1","mmds-c","4","30","1","-5.28936965315883","-0.271061398518782","-6.88546808419118","0.774399606155221","4.26395671322663","38.73968912374","63.7141305292632"
"2","mmds-1","4","30","1","-0.271061415600847",NA,NA,"0.77439960124985","0.263956712529353","38.7396893691335","63.7141305292632"
"3","cds-hnc","4","30","1",NA,NA,NA,"0.77439953861891","0.263956712529578","38.7396925022747","63.7141305292632"
"4","cds-hrp","4","30","1",NA,NA,NA,"0.882669439064822","1.32142724701177","33.9878086543754","63.7141305292632"
"5","cds-hnc-w","4","30","1",NA,NA,NA,"0.77439953861891","0.263956712529578","38.7396925022747","63.7141305292632"
"6","cds-hrp-w","4","30","1",NA,NA,NA,"0.882669439064822","1.32142724701177","33.9878086543754","63.7141305292632"
"7","mmds-c","4","30","2","-3.29937372691137","-0.618320324788747","-0.0291138927382071","0.452039824992859","-0.869909229275267","66.3658340290569","63.7141305292632"
"8","mmds-1","4","30","2","-0.65166649653537",NA,NA,"0.617260390303593","-4.66071325927879","48.6018550214194","63.7141305292632"
"9","cds-hnc","4","30","2",NA,NA,NA,"0.6172604715051","-4.66071325927801","48.6018486277751","63.7141305292632"
"10","cds-hrp","4","30","2",NA,NA,NA,"0.757583220246375","-3.09919951835273","39.5996099151241","63.7141305292632"
"11","cds-hnc-w","4","30","2",NA,NA,NA,"0.6172604715051","-4.66071325927801","48.6018486277751","63.7141305292632"
"12","cds-hrp-w","4","30","2",NA,NA,NA,"0.706711124429849","-3.52491754004303","42.4501595672532","63.7141305292632"
"13","mmds-c","4","30","3","-0.687053472033678","-4.23447817372587","-0.0374451204977622","0.195001945685176","-4.92336886347903","153.844618804132","63.7141305292632"
"14","mmds-1","4","30","3","-0.747880528975239",NA,NA,"0.572727354225847","-7.06548273560675","52.3809449271912","63.7141305292632"
"15","cds-hnc","4","30","3",NA,NA,NA,"0.572727265321798","-7.06548273560564","52.3809530582483","63.7141305292632"
"16","cds-hrp","4","30","3",NA,NA,NA,"0.576883507325942","-5.01315753335069","52.0035667843246","63.7141305292632"
"17","cds-hnc-w","4","30","3",NA,NA,NA,"0.572727265321798","-7.06548273560564","52.3809530582483","63.7141305292632"
"18","cds-hrp-w","4","30","3",NA,NA,NA,"0.576883507325942","-5.01315753335069","52.0035667843246","63.7141305292632"
"19","mmds-c","4","30","4","-0.393737780791037","-7.67272254552241","-1.19584544592287","0.017764777589452","-1.81268629642192","1688.73490528881","63.7141305292632"
"20","mmds-1","4","30","4","-0.444953470021987",NA,NA,"0.707883804456444","-1.27225198189478","42.3798366499369","63.7141305292632"
"21","cds-hnc","4","30","4",NA,NA,NA,"0.707883730191212","-1.2722519818944","42.3798410960745","63.7141305292632"
"22","cds-hrp","4","30","4",NA,NA,NA,NA,NA,NA,NA
"23","cds-hnc-w","4","30","4",NA,NA,NA,"0.707883730191212","-1.2722519818944","42.3798410960745","63.7141305292632"
"24","cds-hrp-w","4","30","4",NA,NA,NA,"0.662290858986252","2.93810698410605","45.2973185314985","63.7141305292632"
"25","mmds-c","4","30","5","0.156753566513303","-2.9905682508645","-0.0345032081233412","0.315343876438694","0.88907297189354","95.1342399250055","63.7141305292632"
"26","mmds-1","4","30","5","-0.296547501802495",NA,NA,"0.765327990647037","0.0920367465003655","39.1988799137438","63.7141305292632"
"27","cds-hnc","4","30","5",NA,NA,NA,NA,NA,NA,NA
"28","cds-hrp","4","30","5",NA,NA,NA,NA,NA,NA,NA
"29","cds-hnc-w","4","30","5",NA,NA,NA,"0.766004091864313","4.07379171976413","39.1642816515321","63.7141305292632"
"30","cds-hrp-w","4","30","5",NA,NA,NA,NA,NA,NA,NA
"31","mmds-c","4","30","6","-3.70173330926336","-0.756112633596235","-0.289527253036637","0.466436029296334","-3.65955355427431","64.3175014701545","63.7141305292632"
"32","mmds-1","4","30","6","-0.766817759107758",NA,NA,"0.56391386095237","-7.61243780072701","53.1996144753993","63.7141305292632"
"33","cds-hnc","4","30","6",NA,NA,NA,"0.56391395050038","-7.61243780072591","53.1996060274444","63.7141305292632"
"34","cds-hrp","4","30","6",NA,NA,NA,"0.693005422577007","-13.9750977515344","43.2897045573498","63.7141305292632"
"35","cds-hnc-w","4","30","6",NA,NA,NA,"0.56391395050038","-7.61243780072591","53.1996060274444","63.7141305292632"
"36","cds-hrp-w","4","30","6",NA,NA,NA,"0.693005422577007","-13.9750977515344","43.2897045573498","63.7141305292632"
"37","mmds-c","4","30","7","-0.217184080056018","-6.76294587428174","-0.854369763623184","0.0450100847667474","1.18339094348619","666.517296189662","63.7141305292632"
"38","mmds-1","4","30","7","-0.284964554989882",NA,NA,"0.769480994133756","0.172082389691285","38.9873177228666","63.7141305292632"
"39","cds-hnc","4","30","7",NA,NA,NA,"0.769480995042822","0.172082389691298","38.987317676807","63.7141305292632"
"40","cds-hrp","4","30","7",NA,NA,NA,"0.813701958487183","2.03871018130074","36.8685360617484","63.7141305292632"
"41","cds-hnc-w","4","30","7",NA,NA,NA,"0.769480995042822","0.172082389691298","38.987317676807","63.7141305292632"
"42","cds-hrp-w","4","30","7",NA,NA,NA,"0.813701958487183","2.03871018130074","36.8685360617484","63.7141305292632"
"43","mmds-c","4","30","8","0.330165266456563","-3.66055697773187","0.11821830557787","0.379347067132691","4.42085004570732","79.0832527762931","63.7141305292632"
"44","mmds-1","4","30","8","0.0493539741892218",NA,NA,"0.867488023819216","1.48607327168427","34.5826099914573","63.7141305292632"
"45","cds-hnc","4","30","8",NA,NA,NA,NA,NA,NA,NA
"46","cds-hrp","4","30","8",NA,NA,NA,"0.868509437443228","2.83892942139485","34.5419389895358","63.7141305292632"
"47","cds-hnc-w","4","30","8",NA,NA,NA,NA,NA,NA,NA
"48","cds-hrp-w","4","30","8",NA,NA,NA,"0.868509437443228","2.83892942139485","34.5419389895358","63.7141305292632"
"49","mmds-c","4","30","9","0.200612849868754","-2.98836114775102","-0.169280556115218","0.263482485517007","-1.56514178217392","113.859560498429","63.7141305292632"
"50","mmds-1","4","30","9","-0.375682907622417",NA,NA,"0.735643682632929","-0.549997210375398","40.7806125550179","63.7141305292632"
"51","cds-hnc","4","30","9",NA,NA,NA,NA,NA,NA,NA
"52","cds-hrp","4","30","9",NA,NA,NA,NA,NA,NA,NA
