"","","","","","beta_1","beta_2","alpha_1","","","",""
"1","mmds-2","1","30","1","-1.48191829736037","-0.129390971763031","0.168453122692068","3.05622956867159","-0.11245913734318","125.160628505216","63.9317161502862"
"2","mmds-1","1","30","1","-0.36796104234875",NA,NA,"2.93882885791706","-3.87765771583411","125.160628505216","48.3306398771525"
"3","cds-hnc","1","30","1",NA,NA,NA,"0.620707516119589","-3.87765771583411","125.160628505216","48.3319425347832"
"4","cds-hrp","1","30","1",NA,NA,NA,NA,NA,NA,NA
"5","cds-hnc-w","1","30","1",NA,NA,NA,"0.620707516119589","-3.87765771583411","125.160628505216","48.3319425347832"
"6","cds-hrp-w","1","30","1",NA,NA,NA,NA,NA,NA,NA
"7","mmds-2","1","30","2","5.91774242095149","-1.55870831419153","-0.39010506490848","2.01192659042985","1.9761468191403","125.160628505216","130.28428579806"
"8","mmds-1","1","30","2","-0.588108804779476",NA,NA,"-0.00212340152796821","2.00424680305594","125.160628505216","60.6142945286084"
"9","cds-hnc","1","30","2",NA,NA,NA,"0.494925803503278","2.00424680305595","125.160628505216","60.6151463262742"
"10","cds-hrp","1","30","2",NA,NA,NA,"0.259079662014382","0.958905309952168","125.160628505216","115.794500296726"
"11","cds-hnc-w","1","30","2",NA,NA,NA,"0.494925803503278","2.00424680305595","125.160628505216","60.6151463262742"
"12","cds-hrp-w","1","30","2",NA,NA,NA,"0.259079662014382","0.958905309952168","125.160628505216","115.794500296726"
"13","mmds-2","1","30","3","3.93470119417662","-1.0534689775026","-0.432811436843301","2.65867547144612","0.68264905710776","125.160628505216","86.3399025954908"
"14","mmds-1","1","30","3","-0.70509503473366",NA,NA,"2.35235499061941","-2.70470998123882","125.160628505216","70.547819669817"
"15","cds-hnc","1","30","3",NA,NA,NA,"0.425249274611938","-2.7047099812388","125.160628505216","70.5468575516714"
"16","cds-hrp","1","30","3",NA,NA,NA,"0.428339601167253","-1.33693334922218","125.160628505216","70.0378856361823"
"17","cds-hnc-w","1","30","3",NA,NA,NA,"0.425249274611938","-2.7047099812388","125.160628505216","70.5468575516714"
"18","cds-hrp-w","1","30","3",NA,NA,NA,"0.428339601167253","-1.33693334922218","125.160628505216","70.0378856361823"
"19","mmds-2","1","30","4","-0.131422349204801","-1.91942044548075","-0.107127331186284","1.14369866957317","3.71260266085365","125.160628505216","131.058468886295"
"20","mmds-1","1","30","4","-0.496787125621445",NA,NA,"0.0961105960641239","1.80777880787175","125.160628505216","54.6829008210878"
"21","cds-hnc","1","30","4",NA,NA,NA,"0.548629300312246","1.80777880787176","125.160628505216","54.6817313310205"
"22","cds-hrp","1","30","4",NA,NA,NA,"0.196889403767194","1.78224354002612","125.160628505216","152.369804702505"
"23","cds-hnc-w","1","30","4",NA,NA,NA,"0.548629300312246","1.80777880787176","125.160628505216","54.6817313310205"
"24","cds-hrp-w","1","30","4",NA,NA,NA,"0.196889403767194","1.78224354002612","125.160628505216","152.369804702505"
"25","mmds-2","1","30","5","2.74833894977415","-1.43052946154583","-0.536026219324164","2.35366122416074","1.29267755167853","125.160628505216","139.320876338254"
"26","mmds-1","1","30","5","-0.775626008541973",NA,NA,"0.439622539724125","1.12075492055175","125.160628505216","78.1491505505775"
"27","cds-hnc","1","30","5",NA,NA,NA,"0.383881363541602","1.12075492055186","125.160628505216","78.1491441085518"
"28","cds-hrp","1","30","5",NA,NA,NA,"0.245661740188164","-0.268651363712618","125.160628505216","122.119138198002"
"29","cds-hnc-w","1","30","5",NA,NA,NA,"0.383881363541602","1.12075492055186","125.160628505216","78.1491441085518"
"30","cds-hrp-w","1","30","5",NA,NA,NA,"0.245661740188164","-0.268651363712618","125.160628505216","122.119138198002"
"31","mmds-2","1","30","6","-0.0548941784627869","-2.35816613395751","-0.100860834599842","2.54138206666445","0.917235866671094","125.160628505216","135.653873204913"
"32","mmds-1","1","30","6","-0.279458063894529",NA,NA,"1.9246631656825","-1.849326331365","125.160628505216","45.003285237317"
"33","cds-hnc","1","30","6",NA,NA,NA,"0.666635873180962","-1.84932633136499","125.160628505216","45.0020786562987"
"34","cds-hrp","1","30","6",NA,NA,NA,NA,NA,NA,NA
"35","cds-hnc-w","1","30","6",NA,NA,NA,"0.666635873180962","-1.84932633136499","125.160628505216","45.0020786562987"
"36","cds-hrp-w","1","30","6",NA,NA,NA,NA,NA,NA,NA
"37","mmds-2","1","30","7","-0.62624187272027","-4.01251197710526","-1.24453623552442","0.954746427669348","4.0905071446613","125.160628505216","2864.12386469659"
"38","mmds-1","1","30","7","-0.708905015774057",NA,NA,"-2.79828666335311","7.59657332670621","125.160628505216","70.9242248230328"
"39","cds-hnc","1","30","7",NA,NA,NA,"0.42299258826914","7.59657332670683","125.160628505216","70.9232285198144"
"40","cds-hrp","1","30","7",NA,NA,NA,"0.000760690947555084","3.99134148511844","125.160628505216","39437.829642146"
"41","cds-hnc-w","1","30","7",NA,NA,NA,"0.42299258826914","7.59657332670683","125.160628505216","70.9232285198144"
"42","cds-hrp-w","1","30","7",NA,NA,NA,"0.000760690947555084","3.99134148511844","125.160628505216","39437.829642146"
"43","mmds-2","1","30","8","-2.71716607351315","0.428927594889328","0.199108844284374","5.43147143994641","-4.86294287989281","125.160628505216","59.0926424491997"
"44","mmds-1","1","30","8","0.336235298104029",NA,NA,"5.40417442544441","-8.80834885088883","125.160628505216","33.9910147203724"
"45","cds-hnc","1","30","8",NA,NA,NA,"0.88259107132787","-8.80834885088881","125.160628505216","33.9908265272439"
"46","cds-hrp","1","30","8",NA,NA,NA,"0.921098568145378","-7.9315732371567","125.160628505216","32.5698041854572"
"47","cds-hnc-w","1","30","8",NA,NA,NA,"0.88259107132787","-8.80834885088881","125.160628505216","33.9908265272439"
"48","cds-hrp-w","1","30","8",NA,NA,NA,"0.921098568145378","-7.9315732371567","125.160628505216","32.5698041854572"
"49","mmds-2","1","30","9","-0.339109391586058","-2.09478778115243","0.196305037653958","2.24376935359848","1.51246129280304","125.160628505216","101.253225088906"
"50","mmds-1","1","30","9","-0.466176723747145",NA,NA,"1.96230034166934","-1.92460068333868","125.160628505216","52.9829152570883"
"51","cds-hnc","1","30","9",NA,NA,NA,"0.566227823971733","-1.92460068333867","125.160628505216","52.9822073906026"
"52","cds-hrp","1","30","9",NA,NA,NA,NA,NA,NA,NA
"53","cds-hnc-w","1","30","9",NA,NA,NA,"0.566227823971733","-1.92460068333867","125.160628505216","52.9822073906026"
"54","cds-hrp-w","1","30","9",NA,NA,NA,NA,NA,NA,NA
"55","mmds-2","1","30","10","-0.663865703933777","-10.4890742401272","-0.577156924676282","3.7936182319912","-1.5872364639824","125.160628505216","639.791236582562"
"56","mmds-1","1","30","10","-0.663865062547033",NA,NA,"3.79361912029464","-5.58723824058928","125.160628505216","66.7018333738078"
"57","cds-hnc","1","30","10",NA,NA,NA,"0.449760135553523","-5.58723824058926","125.160628505216","66.7022210918688"
"58","cds-hrp","1","30","10",NA,NA,NA,"0.513984771055608","-3.79902085392517","125.160628505216","58.3674880841057"
"59","cds-hnc-w","1","30","10",NA,NA,NA,"0.449760135553523","-5.58723824058926","125.160628505216","66.7022210918688"
"60","cds-hrp-w","1","30","10",NA,NA,NA,"0.513984771055608","-3.79902085392517","125.160628505216","58.3674880841057"
"61","mmds-2","1","30","11","3.01365908571687","-1.75594198620394","-0.547278589036783","2.37425590939172","1.25148818121657","125.160628505216","182.589231144473"
"62","mmds-1","1","30","11","-0.63292786978783",NA,NA,"-0.793976222305812","3.58795244461162","125.160628505216","64.0721061293007"
"63","cds-hnc","1","30","11",NA,NA,NA,"0.468212636953127","3.58795244461164","125.160628505216","64.0734521716963"
"64","cds-hrp","1","30","11",NA,NA,NA,"0.208327939138413","1.34114734784893","125.160628505216","144.003728564069"
"65","cds-hnc-w","1","30","11",NA,NA,NA,"0.468212636953127","3.58795244461164","125.160628505216","64.0734521716963"
"66","cds-hrp-w","1","30","11",NA,NA,NA,"0.208327939138413","1.34114734784893","125.160628505216","144.003728564069"
"67","mmds-2","1","30","12","-0.485523265141513","-3.51327346636993","-0.546953264316387","3.32741205279606","-0.654824105592111","125.160628505216","472.992227168805"
"68","mmds-1","1","30","12","-0.531869368946187",NA,NA,"2.7299854780172","-3.4599709560344","125.160628505216","56.8001480880645"
"69","cds-hnc","1","30","12",NA,NA,NA,"0.528177735976148","-3.45997095603439","125.160628505216","56.7990620516326"
"70","cds-hrp","1","30","12",NA,NA,NA,"0.669940545439268","-2.35603036993574","125.160628505216","44.7800931056196"
"71","cds-hnc-w","1","30","12",NA,NA,NA,"0.528177735976148","-3.45997095603439","125.160628505216","56.7990620516326"
"72","cds-hrp-w","1","30","12",NA,NA,NA,"0.669940545439268","-2.35603036993574","125.160628505216","44.7800931056196"
"73","mmds-2","1","30","13","-0.791531824121352","-2.0819193309534","0.0710608587614101","1.54792109931802","2.90415780136396","125.160628505216","192.467829386536"
"74","mmds-1","1","30","13","-0.902694512412087",NA,NA,"0.854862556693542","0.290274886612917","125.160628505216","95.8129044992175"
"75","cds-hnc","1","30","13",NA,NA,NA,"0.313109637582946","0.290274886612951","125.160628505216","95.8130839778214"
"76","cds-hrp","1","30","13",NA,NA,NA,"0.217959080037097","1.95458635023008","125.160628505216","137.640514884234"
"77","cds-hnc-w","1","30","13",NA,NA,NA,"0.313109637582946","0.290274886612951","125.160628505216","95.8130839778214"
"78","cds-hrp-w","1","30","13",NA,NA,NA,"0.217959080037097","1.95458635023008","125.160628505216","137.640514884234"
"79","mmds-2","1","30","14","2.75816851911405","-1.35470112591455","-0.64108972663651","2.37336705869018","1.25326588261964","125.160628505216","141.945373348678"
"80","mmds-1","1","30","14","-0.870253281126585",NA,NA,"0.969815381679178","0.060369236641644","125.160628505216","90.7523574611317"
"81","cds-hnc","1","30","14",NA,NA,NA,"0.330568989449898","0.0603692366416535","125.160628505216","90.7526143027607"
"82","cds-hrp","1","30","14",NA,NA,NA,"0.228135663759717","-0.28386752308147","125.160628505216","131.500702282118"
"83","cds-hnc-w","1","30","14",NA,NA,NA,"0.330568989449898","0.0603692366416535","125.160628505216","90.7526143027607"
"84","cds-hrp-w","1","30","14",NA,NA,NA,"0.228135663759717","-0.28386752308147","125.160628505216","131.500702282118"
"85","mmds-2","1","30","15",NA,NA,NA,NA,NA,NA,NA
"86","mmds-1","1","30","15","0.0335924888271446",NA,NA,"2.98839724461697","-3.97679448923395","125.160628505216","37.5571031347068"
"87","cds-hnc","1","30","15",NA,NA,NA,"0.798798264305989","-3.97679448923393","125.160628505216","37.556416107219"
"88","cds-hrp","1","30","15",NA,NA,NA,NA,NA,NA,NA
"89","cds-hnc-w","1","30","15",NA,NA,NA,"0.798798264305989","-3.97679448923393","125.160628505216","37.556416107219"
"90","cds-hrp-w","1","30","15",NA,NA,NA,NA,NA,NA,NA
