"","","","","beta_1","","","",""
"1",2,30,1,-0.432656343601260,3.38944394539048,-4.77888789078096,78.0586325226816,51.2654621729482
"2",2,30,2,-0.580436701759055,3.99988972820374,-5.99977945640749,78.0586325226816,60.061164924085
"3",2,30,3,-0.613585769036394,4.83714085244207,-7.67428170488414,78.0586325226816,62.5310077118574
"4",2,30,4,-0.747475816888195,0.985000489708804,0.0299990205823921,78.0586325226816,74.9495655751472
"5",2,30,5,-0.617453710453240,1.40909164655513,-0.818183293110265,78.0586325226816,62.833102699894
"6",2,30,6,-0.461102949052113,-0.709338372147308,3.41867674429462,78.0586325226816,52.7135859649963
"7",2,30,7,-0.467629443828488,4.22698785551175,-6.45397571102349,78.0586325226816,53.0606643969024
"8",2,30,8,-0.0823803258778605,5.69414432257866,-9.38828864515732,78.0586325226816,39.7072781217434
"9",2,30,9,-0.29083424278037,2.66980387057448,-3.33960774114896,78.0586325226816,45.3918507466665
"10",2,30,10,-0.722651281705285,-0.556790236932813,3.11358047386563,78.0586325226816,72.3133241736352
"11",2,30,11,-0.814627614852195,2.34197980048999,-2.68395960097997,78.0586325226816,82.9801060079952
"12",2,30,12,-0.167285901190724,4.24400636071674,-6.48801272143347,78.0586325226816,41.6906027580877
"13",2,30,13,0.0171585258331792,4.42465957178932,-6.84931914357864,78.0586325226816,37.8282732995192
"14",2,30,14,-0.788071186288946,2.82259947508576,-3.64519895017151,78.0586325226816,79.6388037916547
"15",2,30,15,-0.441805354403739,1.66370647904040,-1.32741295808081,78.0586325226816,51.7199964710351
"16",2,30,16,-0.540356485763463,3.12544657092337,-4.25089314184675,78.0586325226816,57.3413070693234
"17",2,30,17,-0.552224656247939,1.34426329198827,-0.688526583976532,78.0586325226816,58.1179211279908
"18",2,30,18,-0.550568761671836,-0.190255303104398,2.38051060620880,78.0586325226816,58.0081505320081
"19",2,30,19,-0.303549853341855,4.62379169027455,-7.2475833805491,78.0586325226816,45.8390548399552
"20",2,30,20,0.379964694457235,4.75331004728914,-7.50662009457827,78.0586325226816,33.6443356714429
"21",2,30,21,-0.343895486134593,4.80637060330731,-7.61274120661462,78.0586325226816,47.353387597442
"22",2,30,22,-0.490421097659318,4.4098831872383,-6.8197663744766,78.0586325226816,54.3184616545961
"23",2,30,23,6.50387691366288,5.16544070720717,-8.33088141441433,78.0586325226816,30.0000168217545
"24",2,30,24,-0.157220130866822,4.73329030957651,-7.46658061915303,78.0586325226816,41.4343285018011
"25",2,30,25,-0.695554739224686,1.35321726946785,-0.706434538935702,78.0586325226816,69.6213031248839
